,model_id,var_names,sage_value_unadjusted,sage_sd,perf_metric
0,0,Vital_A,0.0053134437465098515,0.0005501726698263516,1.0316978365476808
1,0,Vital_B,-0.00027236550527378765,0.000494051170709246,1.0316978365476808
2,0,Vital_C,0.002234361243958563,0.00047031705211103266,1.0316978365476808
3,0,Vital_D,-0.0010089121836671735,0.0005455788930264795,1.0316978365476808
4,0,Vital_E,0.009601324345022168,0.0006376495405979584,1.0316978365476808
5,0,Vital_F,4.054012452268133e-05,5.345230913572614e-06,1.0316978365476808
6,0,Vital_G,1.644762521453018e-05,6.185742374605962e-05,1.0316978365476808
7,0,Lab_A,3.6590421820995383e-05,3.9391773480964956e-05,1.0316978365476808
8,0,Lab_B,-0.000596735592417072,3.494537844374803e-05,1.0316978365476808
9,0,Lab_C,0.008071396950275336,0.0006522492848645327,1.0316978365476808
10,0,Lab_D,0.0008677603002772801,0.00019079340799582221,1.0316978365476808
11,0,Lab_E,-0.009612158026834246,0.001302616781741782,1.0316978365476808
12,0,Lab_F,-4.559032680635072e-05,2.9370502496722992e-05,1.0316978365476808
13,0,Lab_G,0.00024437670661000524,0.0005100588908747021,1.0316978365476808
14,0,Lab_H,0.012814494268955434,0.0006948367523276221,1.0316978365476808
15,0,Lab_I,-0.001571059520317813,0.00045100490107316375,1.0316978365476808
16,0,Lab_J,0.00042730508085308763,8.23891006995655e-05,1.0316978365476808
17,0,Lab_K,0.005535886270829418,0.00042404602553460863,1.0316978365476808
18,0,Lab_L,0.00594618873157793,0.0006744781926115023,1.0316978365476808
19,0,Lab_M,0.002544260823343032,0.00028605194571483875,1.0316978365476808
20,0,Age,0.016653505161571325,0.0008951592216059556,1.0316978365476808
0,1,Vital_A,0.00536885152480386,0.0004346987186453988,1.0189982389330516
1,1,Vital_B,-0.0015896392722163286,0.0006472258248872195,1.0189982389330516
2,1,Vital_C,0.00498864779148772,0.0005943910633059007,1.0189982389330516
3,1,Vital_D,-0.0037692414122945275,0.0008874261962318539,1.0189982389330516
4,1,Vital_E,0.009091143238360152,0.0005427950385926287,1.0189982389330516
5,1,Vital_F,0.00017874940079102666,0.00015681239196179068,1.0189982389330516
6,1,Vital_G,6.224381370574218e-05,0.00013442664088380167,1.0189982389330516
7,1,Lab_A,-0.0006625357173161083,0.00023727006393715032,1.0189982389330516
8,1,Lab_B,0.00419163208091219,0.00022941583018989343,1.0189982389330516
9,1,Lab_C,0.0025123580291478704,0.0003862179163464374,1.0189982389330516
10,1,Lab_D,0.0018430860365396427,0.00031927254986870304,1.0189982389330516
11,1,Lab_E,-0.0010463659897215762,0.00037937932588017,1.0189982389330516
12,1,Lab_F,-6.387468306556075e-06,0.0002401023926154739,1.0189982389330516
13,1,Lab_G,0.0018360017103628003,0.0005165680653658186,1.0189982389330516
14,1,Lab_H,0.011478250804202216,0.0005115534419635508,1.0189982389330516
15,1,Lab_I,-0.0008663391293724643,0.0002115037642754051,1.0189982389330516
16,1,Lab_J,0.0009552877044997932,0.000176348260440867,1.0189982389330516
17,1,Lab_K,0.008375287097145469,0.0006350923974239717,1.0189982389330516
18,1,Lab_L,0.0015434539164974246,0.00013859092572369628,1.0189982389330516
19,1,Lab_M,0.001951065784413966,0.00015582143810248628,1.0189982389330516
20,1,Age,0.014130965229997842,0.0006286659274506185,1.0189982389330516
0,2,Vital_A,0.0054605677735235095,0.0004975262416238767,1.022769764938563
1,2,Vital_B,-0.0007262776279486111,0.0007801632617570198,1.022769764938563
2,2,Vital_C,0.00640796736884925,0.0007159410354474186,1.022769764938563
3,2,Vital_D,-0.0063327355377608835,0.0010923699247167144,1.022769764938563
4,2,Vital_E,0.009179123712113423,0.0006324830742900966,1.022769764938563
5,2,Vital_F,0.0004202940899659523,0.00019309618820283843,1.022769764938563
6,2,Vital_G,-0.00023393785574001415,0.0001679904223186776,1.022769764938563
7,2,Lab_A,-0.0005259365617426932,0.0002972104676932549,1.022769764938563
8,2,Lab_B,0.004186875572724979,0.00025303271283072764,1.022769764938563
9,2,Lab_C,0.003800435670900983,0.0004642840177607076,1.022769764938563
10,2,Lab_D,0.0019727199557868858,0.0003829400722423321,1.022769764938563
11,2,Lab_E,-0.0012746230498750582,0.0004404536319490173,1.022769764938563
12,2,Lab_F,-0.00016734477840911493,0.0002302014645144067,1.022769764938563
13,2,Lab_G,0.001459126695349598,0.0005569600379028747,1.022769764938563
14,2,Lab_H,0.012698091743405412,0.0006108265973448952,1.022769764938563
15,2,Lab_I,-0.000569288622997098,0.0002365781166493641,1.022769764938563
16,2,Lab_J,0.0009202390124905332,0.0001994710230390352,1.022769764938563
17,2,Lab_K,0.009250945899075241,0.0007456007191657249,1.022769764938563
18,2,Lab_L,0.001067994321844038,0.00015697179446587012,1.022769764938563
19,2,Lab_M,0.0016191382722556965,0.00017654605219612448,1.022769764938563
20,2,Age,0.015812617656594623,0.000727100322608767,1.022769764938563
0,3,Vital_A,0.0060826962323181615,0.0005995171564671413,1.0226339746766526
1,3,Vital_B,-0.000507408251407875,0.0005259348866688568,1.0226339746766526
2,3,Vital_C,0.002406214206992454,0.0005390079307747769,1.0226339746766526
3,3,Vital_D,-0.0011427948413391432,0.0006190288419515228,1.0226339746766526
4,3,Vital_E,0.008855952931203847,0.0006714038057270014,1.0226339746766526
5,3,Vital_F,0.00010038389267407312,2.4689054853303083e-05,1.0226339746766526
6,3,Vital_G,8.782301943336478e-05,5.8495571274403476e-05,1.0226339746766526
7,3,Lab_A,0.00012698271696432259,5.080447448643206e-05,1.0226339746766526
