,model_id,var_names,sage_value_unadjusted,sage_sd,perf_metric
0,0,age,1.9553598848705278e-05,0.0008778525856240185,1.0280150375677426
1,0,race,0.0008369834943583575,0.0005010326551117988,1.0280150375677426
2,0,prior,0.017882993452513294,0.0010345903055273633,1.0280150375677426
3,0,gender,0.0006997282419009453,0.00020888286648706593,1.0280150375677426
4,0,juvenilecrime,0.0030865710235783743,7.261484497837898e-05,1.0280150375677426
5,0,currentcharge,-0.0028157697570034205,0.00025250763911196725,1.0280150375677426
0,1,age,0.002736687158794297,0.0002754653115114144,1.0284578308125505
1,1,race,-0.008814200328487941,0.001012114755771964,1.0284578308125505
2,1,prior,0.01404143988491611,0.001142750203445777,1.0284578308125505
3,1,gender,-0.002942214783264553,0.0002716216049262547,1.0284578308125505
4,1,juvenilecrime,0.014017927839637095,0.0004506297336405553,1.0284578308125505
5,1,currentcharge,-0.00018207048008249906,0.00015768516854499005,1.0284578308125505
0,2,age,0.002925095649442729,0.0004528743113649821,1.0187101703605783
1,2,race,-0.00025168892266921373,2.9659316899722096e-05,1.0187101703605783
2,2,prior,0.016946483733435536,0.001077632634731462,1.0187101703605783
3,2,gender,-0.004685426221021734,0.000952979359941507,1.0187101703605783
4,2,juvenilecrime,0.012823504460356277,0.0005278716799758144,1.0187101703605783
5,2,currentcharge,0.00016684923352236329,0.0002954874038604704,1.0187101703605783
0,3,age,0.0018421710653710166,0.00033603394726647805,1.0211648455607738
1,3,race,-0.0013415103242178676,0.0001360880728448927,1.0211648455607738
2,3,prior,0.014104242497829303,0.0012367213542697143,1.0211648455607738
3,3,gender,-0.0033963254167845873,0.0006443720263126531,1.0211648455607738
4,3,juvenilecrime,0.021523111916372357,0.0010529156317115153,1.0211648455607738
5,3,currentcharge,-0.0015262260065551508,0.0003965010877954306,1.0211648455607738
0,4,age,0.0025968445184800823,0.000965359292449256,1.0438194597079193
1,4,race,-0.0033455427101933503,0.0011439775474879645,1.0438194597079193
2,4,prior,0.008479746487676115,0.00047862274982495153,1.0438194597079193
3,4,gender,-0.02576332036561308,0.001963845096546917,1.0438194597079193
4,4,juvenilecrime,0.013650944665065206,0.0006813178376084304,1.0438194597079193
5,4,currentcharge,0.00011061651010189897,6.243422042275353e-05,1.0438194597079193
0,5,age,0.0017486025325253258,0.0014201399388125522,1.044544208154798
1,5,race,0.0024813688074054544,0.00048082898421223015,1.044544208154798
2,5,prior,0.017352144524052267,0.0013794350796514482,1.044544208154798
3,5,gender,-4.8343807264906934e-05,0.0007209568149906852,1.044544208154798
4,5,juvenilecrime,0.022158918343491922,0.00160455401873641,1.044544208154798
5,5,currentcharge,-0.013858726187775632,0.0016923890614612938,1.044544208154798
0,6,age,0.0010332711975732049,0.0007679402335034168,1.010683277778212
1,6,race,-0.006339955427575806,0.0011744663370079162,1.010683277778212
2,6,prior,0.012986422716581405,0.001085307087259639,1.010683277778212
3,6,gender,0.0004228593632765382,0.0003655207675374343,1.010683277778212
4,6,juvenilecrime,0.01722448370695513,0.00117215382280554,1.010683277778212
5,6,currentcharge,-0.00014673659128491937,0.0003993219878425297,1.010683277778212
0,7,age,0.0021377139662784993,0.0004639119686575873,1.0100473021370497
1,7,race,-0.00010759765734017882,0.0003470192529269353,1.0100473021370497
2,7,prior,0.013205093786806489,0.0008205072854798015,1.0100473021370497
3,7,gender,-0.0032305764140284185,0.00041485141167437416,1.0100473021370497
4,7,juvenilecrime,0.011876664417833447,0.0003079265534971135,1.0100473021370497
5,7,currentcharge,-0.0029958213710593058,0.00031930091261958023,1.0100473021370497
0,8,age,-0.004869044525823428,0.001260011305299047,1.0483471077271398
1,8,race,0.00028160655289324334,0.0005998167988718227,1.0483471077271398
2,8,prior,0.018730067491326673,0.0012654750388817343,1.0483471077271398
3,8,gender,0.001085665552526078,0.00020228128629111132,1.0483471077271398
4,8,juvenilecrime,-0.0035625248513082982,9.020289216851729e-05,1.0483471077271398
5,8,currentcharge,-0.006692603969417449,0.00046740117827553777,1.0483471077271398
0,9,age,0.002854954809600909,0.00037342496428823023,1.0070819610966188
1,9,race,-0.003738511019667483,0.0007013140368271492,1.0070819610966188
2,9,prior,0.01552346802071499,0.0009598520756825419,1.0070819610966188
3,9,gender,0.00024076163142025816,3.2974465312642556e-05,1.0070819610966188
4,9,juvenilecrime,0.014844536898341231,0.0005067857100053155,1.0070819610966188
5,9,currentcharge,-0.00010709571448769444,0.0002052167032270289,1.0070819610966188
0,10,age,0.0014498326389948484,0.0007693536773627832,1.0164965743486292
1,10,race,-0.005908043246532132,0.0012912293270700473,1.0164965743486292
2,10,prior,0.011605786299978181,0.0007420649027497342,1.0164965743486292
3,10,gender,0.0009233939688129216,0.00024169250917394777,1.0164965743486292
4,10,juvenilecrime,0.01891352193481811,0.001305603720715886,1.0164965743486292
5,10,currentcharge,-0.007507122706437734,0.0010132828531493187,1.0164965743486292
0,11,age,0.0016845087285191893,0.0005293586195446313,1.0429566988593837
1,11,race,-0.007569132281044737,0.0007110834385482604,1.0429566988593837
2,11,prior,0.010445654580603259,0.0010926621997469988,1.0429566988593837
3,11,gender,-0.0028184363269480248,0.00022349987613366027,1.0429566988593837
4,11,juvenilecrime,0.01443657201433476,0.00046744496943993275,1.0429566988593837
5,11,currentcharge,-0.0010491874456949883,0.0002306063567273514,1.0429566988593837
0,12,age,0.0032599897008980068,0.0004624340239695169,1.0005194897740843
1,12,race,0.0012456999268340456,0.00037504142221927067,1.0005194897740843
2,12,prior,0.015529113632655361,0.0008285548429494943,1.0005194897740843
3,12,gender,0.0004203350660688284,0.0003815693496744775,1.0005194897740843
4,12,juvenilecrime,0.01644725723809119,0.0005497645830547028,1.0005194897740843
5,12,currentcharge,-0.0001276682000992974,0.00025394779056721735,1.0005194897740843
0,13,age,0.002003751157526263,0.0004617629598326517,1.0167744070939182
1,13,race,0.00024507468274558085,0.0004960586698376312,1.0167744070939182
2,13,prior,0.016929576092255264,0.0010486927785169128,1.0167744070939182
3,13,gender,-0.0019797254325397205,0.0001898249538046152,1.0167744070939182
4,13,juvenilecrime,0.019096600521952237,0.0008642556074546512,1.0167744070939182
5,13,currentcharge,-0.00033440969459965853,8.441590420517434e-05,1.0167744070939182
0,14,age,0.0028347335883586546,0.0006069988463718829,1.009785694870281
1,14,race,3.402751170634141e-05,0.00048567445848668797,1.009785694870281
2,14,prior,0.01332305148441764,0.0011270866880827392,1.009785694870281
3,14,gender,-0.0018918802607170739,0.00044218063434425505,1.009785694870281
4,14,juvenilecrime,0.014152195541233566,0.0005065810955317994,1.009785694870281
5,14,currentcharge,-0.008398968284034398,0.0007541397897729212,1.009785694870281
0,15,age,0.002839707112864241,0.000520122125895097,1.0150971456636166
1,15,race,-0.009098439331251915,0.001219003239707885,1.0150971456636166
2,15,prior,0.013462762821684278,0.0006842263648726456,1.0150971456636166
3,15,gender,-0.0016997040233395076,0.000581788588847717,1.0150971456636166
4,15,juvenilecrime,0.015482816206065982,0.0007204120820282746,1.0150971456636166
5,15,currentcharge,6.490592790404812e-05,0.00029086009360643596,1.0150971456636166
0,16,age,0.0026068726195134072,0.0007577667421032822,1.0043877637400203
1,16,race,-0.0033850596126025014,0.000993664369870812,1.0043877637400203
2,16,prior,0.014719078116216758,0.0011388187612489163,1.0043877637400203
3,16,gender,0.00016105993676556376,0.00041044584491536955,1.0043877637400203
4,16,juvenilecrime,0.019634101095780006,0.0010631838229896067,1.0043877637400203
5,16,currentcharge,-0.0007299011106531194,0.0003963030886626654,1.0043877637400203
0,17,age,0.0005657136785123894,0.00045472129716621904,1.0411121142765547
1,17,race,-0.0008430842817077173,0.0002849537361903427,1.0411121142765547
2,17,prior,0.007606269745953179,0.0008203940071268721,1.0411121142765547
3,17,gender,-0.008930179205476634,0.0004735359568205256,1.0411121142765547
4,17,juvenilecrime,0.006763690984379771,0.00013310878308933724,1.0411121142765547
5,17,currentcharge,-0.007038876952654846,0.0003591480563296374,1.0411121142765547
0,18,age,0.0022183728862126724,0.00023642068361633966,1.0480484887614017
1,18,race,-0.014340122894094939,0.001406361414654476,1.0480484887614017
2,18,prior,0.014954161626261335,0.0014601922127288694,1.0480484887614017
3,18,gender,-0.006624875034727645,0.0005443429313493179,1.0480484887614017
4,18,juvenilecrime,0.012668889716338927,0.0004753332304585527,1.0480484887614017
5,18,currentcharge,-5.425103688924061e-05,0.0001477580461747239,1.0480484887614017
0,19,age,0.0002324784589664827,0.0010777453454220954,1.0433275153887294
1,19,race,0.00038111031320990646,5.955467243009587e-05,1.0433275153887294
2,19,prior,0.006020185793583002,0.000279267317255534,1.0433275153887294
3,19,gender,0.0008264820546812542,0.00035887063079399593,1.0433275153887294
4,19,juvenilecrime,0.02332453600380706,0.0013376262427484257,1.0433275153887294
5,19,currentcharge,-0.003467478710493143,0.000465213315064821,1.0433275153887294
0,20,age,0.002233507876505804,0.0007348775855493325,1.0180915087833051
1,20,race,-0.006606995249822125,0.001297703873027832,1.0180915087833051
2,20,prior,0.011129380139411053,0.0006964672132027352,1.0180915087833051
3,20,gender,0.0006947552984320249,0.00022475599892473358,1.0180915087833051
4,20,juvenilecrime,0.019448151521771408,0.001283951381573075,1.0180915087833051
5,20,currentcharge,-0.0036915874358536935,0.0010159988465633957,1.0180915087833051
0,21,age,0.001598190351349364,0.0004559893414014844,1.0080411142273304
1,21,race,-0.0014074473814142654,0.0005147236558309548,1.0080411142273304
2,21,prior,0.015307230379990728,0.0008594077535481236,1.0080411142273304
3,21,gender,0.00028717056491532356,6.326959461925221e-05,1.0080411142273304
4,21,juvenilecrime,0.015789944783502832,0.0004763068551979826,1.0080411142273304
5,21,currentcharge,-0.0007381867145845513,0.00022318442272189974,1.0080411142273304
0,22,age,0.0036911528774509652,0.00046989711424273907,1.0133252366290257
1,22,race,0.0007560373739662659,7.457321550560924e-05,1.0133252366290257
2,22,prior,0.018109993757977443,0.00100536892724065,1.0133252366290257
3,22,gender,-0.0020438168501619018,0.0007918280722790367,1.0133252366290257
4,22,juvenilecrime,0.014533445353141286,0.0005429386803730272,1.0133252366290257
5,22,currentcharge,0.00026146975267580044,0.00028331348184416915,1.0133252366290257
0,23,age,0.001853077267700643,0.0005318984553678701,1.0350861364012567
