,model_id,var_names,sage_value_unadjusted,sage_sd,perf_metric
0,27,Vital_A,0.0032080241794563316,0.00033429838736660783,1.0451282212571336
1,27,Vital_B,-0.0009565979238217461,0.00046388717072927643,1.0451282212571336
2,27,Vital_C,0.0013198137932556753,9.517216673832172e-05,1.0451282212571336
3,27,Vital_D,-0.0025108678775956753,0.0003622007981423512,1.0451282212571336
4,27,Vital_E,0.008052899606725767,0.0006506425228984025,1.0451282212571336
5,27,Vital_F,-0.0014560395187493812,0.00013296398903812114,1.0451282212571336
6,27,Vital_G,3.6851134749924174e-05,4.660502119713172e-05,1.0451282212571336
7,27,Lab_A,-0.00013151459061752348,3.5052882989531606e-05,1.0451282212571336
8,27,Lab_B,0.01036374399294783,0.0005241296498225259,1.0451282212571336
9,27,Lab_C,-0.0006242168433015166,4.3152975559573706e-05,1.0451282212571336
10,27,Lab_D,0.0031449157869215738,0.00032188805441025494,1.0451282212571336
11,27,Lab_E,-0.0012728381089504874,0.00013891006112259514,1.0451282212571336
12,27,Lab_F,0.0013807979923750862,0.0007041904591292707,1.0451282212571336
13,27,Lab_G,0.0010427191428945607,0.0009586292199455323,1.0451282212571336
14,27,Lab_H,0.009739374729295782,0.0003022747172399736,1.0451282212571336
15,27,Lab_I,7.121979332850991e-05,0.0002362460548610568,1.0451282212571336
16,27,Lab_J,0.0005994761150937847,6.678026828677269e-05,1.0451282212571336
17,27,Lab_K,0.0076283483572145445,0.0006324311495790085,1.0451282212571336
18,27,Lab_L,-0.0006454577591012587,5.517244249000953e-05,1.0451282212571336
19,27,Lab_M,0.0018615195868386856,0.0003006756633254562,1.0451282212571336
20,27,Age,0.01666812484826495,0.0005850331698237136,1.0451282212571336
